Q_idx:0 	 Pred Answer=B		 Real Answer idx=B
Q_idx:30 	 Pred Answer=D: Obstruction of the cystic duct		 Real Answer idx=D
Q_idx:31 	 Pred Answer=B: Increased systemic vascular resistance		 Real Answer idx=C
Q_idx:32 	 Pred Answer=C		 Real Answer idx=D
Q_idx:33 	 Pred Answer=D: Ectopic secretion of gastrin		 Real Answer idx=B
Q_idx:34 	 Pred Answer=A: Insulin, potassium, IV fluids, and glucose		 Real Answer idx=A
Q_idx:35 	 Pred Answer=C: Rheumatoid arthritis		 Real Answer idx=A
Q_idx:36 	 Pred Answer=C		 Real Answer idx=D
Q_idx:37 	 Pred Answer=D: Selective IgA deficiency		 Real Answer idx=A
Q_idx:38 	 Pred Answer=C		 Real Answer idx=D
Q_idx:39 	 Pred Answer=D: Arcuate fasciculus + inferior frontal gyrus + superior temporal gyrus		 Real Answer idx=A
Q_idx:40 	 Pred Answer=B: Idiopathic hirsutism		 Real Answer idx=C
Q_idx:41 	 Pred Answer=C		 Real Answer idx=C
Q_idx:42 	 Pred Answer=B: Meconium ileus		 Real Answer idx=A
Q_idx:43 	 Pred Answer=C		 Real Answer idx=B
Q_idx:44 	 Pred Answer=B		 Real Answer idx=A
Q_idx:45 	 Pred Answer=A: Ethanol		 Real Answer idx=D
Q_idx:46 	 Pred Answer=C		 Real Answer idx=C
Q_idx:47 	 Pred Answer=D: Aortoiliac artery stenosis		 Real Answer idx=A
Q_idx:48 	 Pred Answer=D		 Real Answer idx=B
Q_idx:49 	 Pred Answer=D		 Real Answer idx=C
Q_idx:50 	 Pred Answer=D		 Real Answer idx=D
Q_idx:51 	 Pred Answer=A: Aldosterone excess		 Real Answer idx=A
Q_idx:52 	 Pred Answer=A		 Real Answer idx=D
Q_idx:53 	 Pred Answer=C		 Real Answer idx=C
Q_idx:54 	 Pred Answer=A: Tardive dyskinesia		 Real Answer idx=A
Q_idx:55 	 Pred Answer=D		 Real Answer idx=A
Q_idx:56 	 Pred Answer=A		 Real Answer idx=C
Q_idx:57 	 Pred Answer=B		 Real Answer idx=B
Q_idx:58 	 Pred Answer=D: Immune thrombocytopenic purpura		 Real Answer idx=C
Q_idx:59 	 Pred Answer=C: Patients can have a history of both anorexia and bulimia		 Real Answer idx=A
Q_idx:60 	 Pred Answer=C		 Real Answer idx=C
Q_idx:61 	 Pred Answer=A		 Real Answer idx=A
Q_idx:62 	 Pred Answer=A		 Real Answer idx=D
Q_idx:63 	 Pred Answer=A		 Real Answer idx=A
Q_idx:64 	 Pred Answer=D		 Real Answer idx=A
Q_idx:65 	 Pred Answer=A		 Real Answer idx=B
Q_idx:66 	 Pred Answer=A		 Real Answer idx=C
Q_idx:67 	 Pred Answer=B		 Real Answer idx=B
Q_idx:68 	 Pred Answer=Nadalol		 Real Answer idx=D
Q_idx:69 	 Pred Answer=D		 Real Answer idx=A
Q_idx:70 	 Pred Answer=C		 Real Answer idx=A
Q_idx:71 	 Pred Answer=A: Cardiac contusion		 Real Answer idx=A
Q_idx:72 	 Pred Answer=C		 Real Answer idx=C
Q_idx:73 	 Pred Answer=D		 Real Answer idx=B
Q_idx:74 	 Pred Answer=D: Skin biopsy		 Real Answer idx=C
Q_idx:75 	 Pred Answer=D		 Real Answer idx=A
Q_idx:76 	 Pred Answer=C		 Real Answer idx=B
Q_idx:77 	 Pred Answer=B		 Real Answer idx=B
Q_idx:78 	 Pred Answer=A: Coarctation of the aorta		 Real Answer idx=C
Q_idx:79 	 Pred Answer=C		 Real Answer idx=C
Q_idx:80 	 Pred Answer=D		 Real Answer idx=B
Q_idx:81 	 Pred Answer=D		 Real Answer idx=A
Q_idx:82 	 Pred Answer=C		 Real Answer idx=C
Q_idx:83 	 Pred Answer=A: Jaw claudication		 Real Answer idx=A
Q_idx:84 	 Pred Answer=C: Endometrial tissue outside the uterine cavity		 Real Answer idx=C
Q_idx:85 	 Pred Answer=D		 Real Answer idx=B
Q_idx:86 	 Pred Answer=A		 Real Answer idx=C
Q_idx:87 	 Pred Answer=D		 Real Answer idx=C
Q_idx:88 	 Pred Answer=B		 Real Answer idx=C
Q_idx:89 	 Pred Answer=C		 Real Answer idx=B
Q_idx:90 	 Pred Answer=D: Freshwater snails		 Real Answer idx=D
Q_idx:91 	 Pred Answer=B		 Real Answer idx=B
Q_idx:92 	 Pred Answer=C: Delirium		 Real Answer idx=C
Q_idx:93 	 Pred Answer=C		 Real Answer idx=D
Q_idx:94 	 Pred Answer=C		 Real Answer idx=C
Q_idx:95 	 Pred Answer=A		 Real Answer idx=D
Q_idx:96 	 Pred Answer=D: X-linked recessive		 Real Answer idx=A
Q_idx:97 	 Pred Answer=B		 Real Answer idx=B
Q_idx:98 	 Pred Answer=D		 Real Answer idx=B
Q_idx:99 	 Pred Answer=B		 Real Answer idx=B
