Q_idx,pred,real,usage,Correct_Ans
30,*,D,"{'total_duration': 33118103544, 'load_duration': 39148643, 'prompt_eval_count': 635, 'prompt_eval_duration': 282611361, 'eval_count': 1960, 'eval_duration': 32770324605}",0
31,C,C,"{'total_duration': 20298547226, 'load_duration': 35847788, 'prompt_eval_count': 492, 'prompt_eval_duration': 123283248, 'eval_count': 1221, 'eval_duration': 20123278388}",1
32,D,D,"{'total_duration': 8965970991, 'load_duration': 34301601, 'prompt_eval_count': 609, 'prompt_eval_duration': 237353391, 'eval_count': 537, 'eval_duration': 8667359746}",1
33,<,B,"{'total_duration': 33724183521, 'load_duration': 38367814, 'prompt_eval_count': 514, 'prompt_eval_duration': 117437808, 'eval_count': 2000, 'eval_duration': 33553396480}",0
34,D,A,"{'total_duration': 15547421979, 'load_duration': 42346937, 'prompt_eval_count': 723, 'prompt_eval_duration': 294882664, 'eval_count': 929, 'eval_duration': 15181560684}",0
35,A,A,"{'total_duration': 9283143850, 'load_duration': 38699150, 'prompt_eval_count': 514, 'prompt_eval_duration': 121896517, 'eval_count': 559, 'eval_duration': 9105178318}",1
36,D,D,"{'total_duration': 19717210863, 'load_duration': 40624795, 'prompt_eval_count': 486, 'prompt_eval_duration': 116848944, 'eval_count': 1188, 'eval_duration': 19534886035}",1
37,A,A,"{'total_duration': 10200289781, 'load_duration': 49124940, 'prompt_eval_count': 488, 'prompt_eval_duration': 115938137, 'eval_count': 615, 'eval_duration': 10011842739}",1
38,D,D,"{'total_duration': 16392532950, 'load_duration': 38245061, 'prompt_eval_count': 661, 'prompt_eval_duration': 279091890, 'eval_count': 984, 'eval_duration': 16052671237}",1
39,A,A,"{'total_duration': 24485922080, 'load_duration': 55471707, 'prompt_eval_count': 522, 'prompt_eval_duration': 124188922, 'eval_count': 1465, 'eval_duration': 24291031928}",1
40,C,C,"{'total_duration': 11013653183, 'load_duration': 41104519, 'prompt_eval_count': 655, 'prompt_eval_duration': 277990903, 'eval_count': 652, 'eval_duration': 10675592349}",1
41,C,C,"{'total_duration': 7827752511, 'load_duration': 46093937, 'prompt_eval_count': 771, 'prompt_eval_duration': 292242029, 'eval_count': 451, 'eval_duration': 7459825431}",1
42,A,A,"{'total_duration': 12054471673, 'load_duration': 33864924, 'prompt_eval_count': 656, 'prompt_eval_duration': 267344061, 'eval_count': 713, 'eval_duration': 11730095930}",1
43,<,B,"{'total_duration': 33536205295, 'load_duration': 36828002, 'prompt_eval_count': 449, 'prompt_eval_duration': 114695617, 'eval_count': 2000, 'eval_duration': 33368483057}",0
44,I,A,"{'total_duration': 34047607825, 'load_duration': 55676817, 'prompt_eval_count': 642, 'prompt_eval_duration': 278045579, 'eval_count': 2000, 'eval_duration': 33690441683}",0
45,T,D,"{'total_duration': 33735293320, 'load_duration': 41184903, 'prompt_eval_count': 588, 'prompt_eval_duration': 271224039, 'eval_count': 2000, 'eval_duration': 33402733875}",0
46,C,C,"{'total_duration': 8691229863, 'load_duration': 36552074, 'prompt_eval_count': 561, 'prompt_eval_duration': 235294144, 'eval_count': 522, 'eval_duration': 8391205725}",1
47,T,A,"{'total_duration': 34004696017, 'load_duration': 42258831, 'prompt_eval_count': 618, 'prompt_eval_duration': 274660339, 'eval_count': 2000, 'eval_duration': 33661287547}",0
48,B,B,"{'total_duration': 19910772890, 'load_duration': 41634343, 'prompt_eval_count': 565, 'prompt_eval_duration': 240093242, 'eval_count': 1178, 'eval_duration': 19601663542}",1
49,C,C,"{'total_duration': 8478900338, 'load_duration': 38849660, 'prompt_eval_count': 567, 'prompt_eval_duration': 229426408, 'eval_count': 506, 'eval_duration': 8183165592}",1
50,D,D,"{'total_duration': 6752874631, 'load_duration': 44596235, 'prompt_eval_count': 442, 'prompt_eval_duration': 105706929, 'eval_count': 408, 'eval_duration': 6580293611}",1
51,A,A,"{'total_duration': 11643267752, 'load_duration': 41378014, 'prompt_eval_count': 620, 'prompt_eval_duration': 276403954, 'eval_count': 692, 'eval_duration': 11309193005}",1
52,D,D,"{'total_duration': 10558246411, 'load_duration': 42064307, 'prompt_eval_count': 497, 'prompt_eval_duration': 108979639, 'eval_count': 643, 'eval_duration': 10392669766}",1
53,T,C,"{'total_duration': 33541339477, 'load_duration': 42300199, 'prompt_eval_count': 474, 'prompt_eval_duration': 108885535, 'eval_count': 2000, 'eval_duration': 33368090433}",0
54,A,A,"{'total_duration': 8137360279, 'load_duration': 43686820, 'prompt_eval_count': 508, 'prompt_eval_duration': 127309163, 'eval_count': 487, 'eval_duration': 7949701907}",1
55,A,A,"{'total_duration': 7064757238, 'load_duration': 41279550, 'prompt_eval_count': 562, 'prompt_eval_duration': 227091032, 'eval_count': 417, 'eval_duration': 6771564542}",1
56,C,C,"{'total_duration': 7374780765, 'load_duration': 45093693, 'prompt_eval_count': 443, 'prompt_eval_duration': 117292315, 'eval_count': 443, 'eval_duration': 7185737594}",1
57,T,B,"{'total_duration': 33634466190, 'load_duration': 44846000, 'prompt_eval_count': 538, 'prompt_eval_duration': 115136264, 'eval_count': 2000, 'eval_duration': 33450428973}",0
58,C,C,"{'total_duration': 10746214285, 'load_duration': 42794357, 'prompt_eval_count': 753, 'prompt_eval_duration': 295194800, 'eval_count': 636, 'eval_duration': 10382513979}",1
59,<,A,"{'total_duration': 33654516977, 'load_duration': 45860792, 'prompt_eval_count': 581, 'prompt_eval_duration': 231287816, 'eval_count': 2000, 'eval_duration': 33354631510}",0
60,C,C,"{'total_duration': 10985866884, 'load_duration': 54276664, 'prompt_eval_count': 538, 'prompt_eval_duration': 230040407, 'eval_count': 663, 'eval_duration': 10685399730}",1
61,A,A,"{'total_duration': 11965412019, 'load_duration': 44314280, 'prompt_eval_count': 481, 'prompt_eval_duration': 110293649, 'eval_count': 724, 'eval_duration': 11786118499}",1
62,*,D,"{'total_duration': 33620105862, 'load_duration': 36986255, 'prompt_eval_count': 611, 'prompt_eval_duration': 236105990, 'eval_count': 2000, 'eval_duration': 33331787167}",0
63,A,A,"{'total_duration': 8236777810, 'load_duration': 46511868, 'prompt_eval_count': 682, 'prompt_eval_duration': 282142566, 'eval_count': 480, 'eval_duration': 7887785424}",1
64,C,A,"{'total_duration': 8588207987, 'load_duration': 44540669, 'prompt_eval_count': 594, 'prompt_eval_duration': 241263418, 'eval_count': 514, 'eval_duration': 8283392750}",0
65,B,B,"{'total_duration': 12745933797, 'load_duration': 41518160, 'prompt_eval_count': 542, 'prompt_eval_duration': 111716208, 'eval_count': 764, 'eval_duration': 12568723937}",1
66,C,C,"{'total_duration': 7842451712, 'load_duration': 44933793, 'prompt_eval_count': 564, 'prompt_eval_duration': 232674462, 'eval_count': 467, 'eval_duration': 7540629790}",1
67,B,B,"{'total_duration': 7030943645, 'load_duration': 35365727, 'prompt_eval_count': 626, 'prompt_eval_duration': 273854820, 'eval_count': 411, 'eval_duration': 6707213078}",1
68,D,D,"{'total_duration': 10124749701, 'load_duration': 36211974, 'prompt_eval_count': 605, 'prompt_eval_duration': 235343100, 'eval_count': 606, 'eval_duration': 9836112660}",1
69,:,A,"{'total_duration': 32690323007, 'load_duration': 34975618, 'prompt_eval_count': 596, 'prompt_eval_duration': 235986235, 'eval_count': 1933, 'eval_duration': 32395602515}",0
70,A,A,"{'total_duration': 10749968326, 'load_duration': 37669118, 'prompt_eval_count': 764, 'prompt_eval_duration': 294819435, 'eval_count': 634, 'eval_duration': 10392196416}",1
71,A,A,"{'total_duration': 14170761769, 'load_duration': 41185580, 'prompt_eval_count': 585, 'prompt_eval_duration': 231642761, 'eval_count': 847, 'eval_duration': 13872370067}",1
72,,C,"{'total_duration': 33907139307, 'load_duration': 31946659, 'prompt_eval_count': 796, 'prompt_eval_duration': 295349233, 'eval_count': 2000, 'eval_duration': 33553605048}",0
73,B,B,"{'total_duration': 6612875759, 'load_duration': 35404776, 'prompt_eval_count': 550, 'prompt_eval_duration': 235904225, 'eval_count': 394, 'eval_duration': 6316278137}",1
74,C,C,"{'total_duration': 8582711410, 'load_duration': 48554553, 'prompt_eval_count': 643, 'prompt_eval_duration': 271504560, 'eval_count': 510, 'eval_duration': 8244495846}",1
75,C,A,"{'total_duration': 7013953302, 'load_duration': 22722624, 'prompt_eval_count': 503, 'prompt_eval_duration': 109082851, 'eval_count': 425, 'eval_duration': 6870188140}",0
76,B,B,"{'total_duration': 9284470290, 'load_duration': 37803592, 'prompt_eval_count': 591, 'prompt_eval_duration': 231882970, 'eval_count': 555, 'eval_duration': 8987327346}",1
77,T,B,"{'total_duration': 33676151472, 'load_duration': 43450006, 'prompt_eval_count': 516, 'prompt_eval_duration': 116983046, 'eval_count': 2000, 'eval_duration': 33500430579}",0
78,D,C,"{'total_duration': 25830882448, 'load_duration': 41346568, 'prompt_eval_count': 506, 'prompt_eval_duration': 118795778, 'eval_count': 1540, 'eval_duration': 25653781882}",0
79,C,C,"{'total_duration': 12608618700, 'load_duration': 40912702, 'prompt_eval_count': 647, 'prompt_eval_duration': 281249961, 'eval_count': 751, 'eval_duration': 12259620162}",1
80,B,B,"{'total_duration': 17777237208, 'load_duration': 37069635, 'prompt_eval_count': 450, 'prompt_eval_duration': 112588865, 'eval_count': 1074, 'eval_duration': 17607679345}",1
81,D,A,"{'total_duration': 19697765980, 'load_duration': 44664410, 'prompt_eval_count': 503, 'prompt_eval_duration': 123394322, 'eval_count': 1196, 'eval_duration': 19513666355}",0
82,C,C,"{'total_duration': 8831484427, 'load_duration': 45033881, 'prompt_eval_count': 504, 'prompt_eval_duration': 113144188, 'eval_count': 528, 'eval_duration': 8658777939}",1
83,A,A,"{'total_duration': 6789886222, 'load_duration': 34287151, 'prompt_eval_count': 674, 'prompt_eval_duration': 274756633, 'eval_count': 396, 'eval_duration': 6455547180}",1
84,C,C,"{'total_duration': 12014598112, 'load_duration': 33991474, 'prompt_eval_count': 610, 'prompt_eval_duration': 232671597, 'eval_count': 722, 'eval_duration': 11732684758}",1
85,B,B,"{'total_duration': 10205688929, 'load_duration': 38487766, 'prompt_eval_count': 593, 'prompt_eval_duration': 239780246, 'eval_count': 605, 'eval_duration': 9901010605}",1
86,C,C,"{'total_duration': 5482336057, 'load_duration': 38937603, 'prompt_eval_count': 556, 'prompt_eval_duration': 224030390, 'eval_count': 325, 'eval_duration': 5192314809}",1
87,C,C,"{'total_duration': 19680687193, 'load_duration': 33298493, 'prompt_eval_count': 760, 'prompt_eval_duration': 285981425, 'eval_count': 1157, 'eval_duration': 19338404974}",1
88,C,C,"{'total_duration': 23651963350, 'load_duration': 53195369, 'prompt_eval_count': 630, 'prompt_eval_duration': 278748023, 'eval_count': 1395, 'eval_duration': 23303276343}",1
89,B,B,"{'total_duration': 10900649613, 'load_duration': 41644142, 'prompt_eval_count': 622, 'prompt_eval_duration': 275227995, 'eval_count': 649, 'eval_duration': 10565528332}",1
90,D,D,"{'total_duration': 8628159575, 'load_duration': 36183107, 'prompt_eval_count': 574, 'prompt_eval_duration': 238614175, 'eval_count': 518, 'eval_duration': 8333194540}",1
91,B,B,"{'total_duration': 11639293284, 'load_duration': 35413041, 'prompt_eval_count': 552, 'prompt_eval_duration': 118638969, 'eval_count': 705, 'eval_duration': 11458040778}",1
92,C,C,"{'total_duration': 9944961481, 'load_duration': 50650526, 'prompt_eval_count': 530, 'prompt_eval_duration': 114253914, 'eval_count': 595, 'eval_duration': 9762420547}",1
93,T,D,"{'total_duration': 33480429505, 'load_duration': 33675670, 'prompt_eval_count': 633, 'prompt_eval_duration': 270890697, 'eval_count': 2000, 'eval_duration': 33148443387}",0
94,C,C,"{'total_duration': 13589885065, 'load_duration': 36918087, 'prompt_eval_count': 626, 'prompt_eval_duration': 282216133, 'eval_count': 808, 'eval_duration': 13245649462}",1
95,D,D,"{'total_duration': 14285628330, 'load_duration': 35376460, 'prompt_eval_count': 569, 'prompt_eval_duration': 227183440, 'eval_count': 859, 'eval_duration': 13998914938}",1
96,A,A,"{'total_duration': 17431588252, 'load_duration': 31979265, 'prompt_eval_count': 616, 'prompt_eval_duration': 249767567, 'eval_count': 1042, 'eval_duration': 17132008653}",1
97,B,B,"{'total_duration': 9791790753, 'load_duration': 36245029, 'prompt_eval_count': 509, 'prompt_eval_duration': 113339865, 'eval_count': 593, 'eval_duration': 9617527728}",1
98,B,B,"{'total_duration': 8192543914, 'load_duration': 42630459, 'prompt_eval_count': 493, 'prompt_eval_duration': 118506950, 'eval_count': 493, 'eval_duration': 8015990134}",1
99,B,B,"{'total_duration': 11911228013, 'load_duration': 49456904, 'prompt_eval_count': 501, 'prompt_eval_duration': 109033433, 'eval_count': 716, 'eval_duration': 11735813899}",1
