Q_idx,pred,real,usage,Correct_Ans
23,A,D,"{'total_duration': 9170293164, 'load_duration': 37574404, 'prompt_eval_count': 317, 'prompt_eval_duration': 86835720, 'eval_count': 547, 'eval_duration': 9026607137}",0
24,A,A,"{'total_duration': 19875412982, 'load_duration': 33809585, 'prompt_eval_count': 401, 'prompt_eval_duration': 105793563, 'eval_count': 1194, 'eval_duration': 19720074592}",1
25,D,D,"{'total_duration': 8245665002, 'load_duration': 36016545, 'prompt_eval_count': 172, 'prompt_eval_duration': 71468894, 'eval_count': 514, 'eval_duration': 8123762535}",1
26,D,D,"{'total_duration': 4780213812, 'load_duration': 53226216, 'prompt_eval_count': 272, 'prompt_eval_duration': 89132781, 'eval_count': 287, 'eval_duration': 4622151509}",1
27,A,A,"{'total_duration': 6997628519, 'load_duration': 33515356, 'prompt_eval_count': 302, 'prompt_eval_duration': 92124337, 'eval_count': 413, 'eval_duration': 6853467714}",1
28,D,D,"{'total_duration': 9096663776, 'load_duration': 54312480, 'prompt_eval_count': 370, 'prompt_eval_duration': 95001352, 'eval_count': 550, 'eval_duration': 8925904451}",1
29,A,C,"{'total_duration': 20791357870, 'load_duration': 41009439, 'prompt_eval_count': 269, 'prompt_eval_duration': 80946393, 'eval_count': 1258, 'eval_duration': 20642722463}",0
30,D,D,"{'total_duration': 21390010383, 'load_duration': 36253199, 'prompt_eval_count': 335, 'prompt_eval_duration': 93623085, 'eval_count': 1298, 'eval_duration': 21239855543}",1
31,C,C,"{'total_duration': 20900576426, 'load_duration': 40018053, 'prompt_eval_count': 192, 'prompt_eval_duration': 72257210, 'eval_count': 1250, 'eval_duration': 20766674620}",1
32,T,D,"{'total_duration': 33436295789, 'load_duration': 36912444, 'prompt_eval_count': 309, 'prompt_eval_duration': 109594867, 'eval_count': 2000, 'eval_duration': 33265517679}",0
33,T,B,"{'total_duration': 34059151065, 'load_duration': 41948949, 'prompt_eval_count': 214, 'prompt_eval_duration': 84513783, 'eval_count': 2000, 'eval_duration': 33909492927}",0
34,D,A,"{'total_duration': 21759486985, 'load_duration': 42738986, 'prompt_eval_count': 423, 'prompt_eval_duration': 110166354, 'eval_count': 1276, 'eval_duration': 21584177081}",0
35,A,A,"{'total_duration': 6562670977, 'load_duration': 34725998, 'prompt_eval_count': 214, 'prompt_eval_duration': 80030186, 'eval_count': 390, 'eval_duration': 6426126323}",1
36,<,D,"{'total_duration': 33165855422, 'load_duration': 35836722, 'prompt_eval_count': 186, 'prompt_eval_duration': 68767679, 'eval_count': 2000, 'eval_duration': 33043681476}",0
37,A,A,"{'total_duration': 14826948953, 'load_duration': 37992917, 'prompt_eval_count': 188, 'prompt_eval_duration': 75059225, 'eval_count': 910, 'eval_duration': 14700824871}",1
38,<,D,"{'total_duration': 33327031787, 'load_duration': 49634406, 'prompt_eval_count': 361, 'prompt_eval_duration': 99352955, 'eval_count': 2000, 'eval_duration': 33163484894}",0
39,A,A,"{'total_duration': 20517907004, 'load_duration': 38469853, 'prompt_eval_count': 222, 'prompt_eval_duration': 84088722, 'eval_count': 1263, 'eval_duration': 20382103181}",1
40,C,C,"{'total_duration': 8679373550, 'load_duration': 35778000, 'prompt_eval_count': 355, 'prompt_eval_duration': 91865298, 'eval_count': 518, 'eval_duration': 8534823275}",1
41,C,C,"{'total_duration': 7375115521, 'load_duration': 36990561, 'prompt_eval_count': 471, 'prompt_eval_duration': 119984523, 'eval_count': 432, 'eval_duration': 7195828912}",1
42,A,A,"{'total_duration': 6249305223, 'load_duration': 34595131, 'prompt_eval_count': 356, 'prompt_eval_duration': 95151943, 'eval_count': 380, 'eval_duration': 6096369765}",1
43,<,B,"{'total_duration': 33219232379, 'load_duration': 32840424, 'prompt_eval_count': 149, 'prompt_eval_duration': 70774097, 'eval_count': 2000, 'eval_duration': 33104453721}",0
44,A,A,"{'total_duration': 7960876321, 'load_duration': 42468435, 'prompt_eval_count': 342, 'prompt_eval_duration': 95158878, 'eval_count': 480, 'eval_duration': 7808838943}",1
45,D,D,"{'total_duration': 25932177688, 'load_duration': 37401082, 'prompt_eval_count': 288, 'prompt_eval_duration': 88421325, 'eval_count': 1558, 'eval_duration': 25782872833}",1
46,C,C,"{'total_duration': 9881940713, 'load_duration': 37359912, 'prompt_eval_count': 261, 'prompt_eval_duration': 90026474, 'eval_count': 610, 'eval_duration': 9731252214}",1
47,T,A,"{'total_duration': 33671873155, 'load_duration': 38003316, 'prompt_eval_count': 318, 'prompt_eval_duration': 88796971, 'eval_count': 2000, 'eval_duration': 33532367309}",0
48,B,B,"{'total_duration': 16424767249, 'load_duration': 45529602, 'prompt_eval_count': 265, 'prompt_eval_duration': 92988257, 'eval_count': 972, 'eval_duration': 16272199172}",1
49,C,C,"{'total_duration': 5903005437, 'load_duration': 43303241, 'prompt_eval_count': 267, 'prompt_eval_duration': 81127027, 'eval_count': 348, 'eval_duration': 5764636734}",1
50,D,D,"{'total_duration': 6702220071, 'load_duration': 33437194, 'prompt_eval_count': 142, 'prompt_eval_duration': 70228829, 'eval_count': 401, 'eval_duration': 6580888408}",1
51,A,A,"{'total_duration': 7367496410, 'load_duration': 75174423, 'prompt_eval_count': 320, 'prompt_eval_duration': 91481508, 'eval_count': 437, 'eval_duration': 7181866227}",1
52,D,D,"{'total_duration': 10719768784, 'load_duration': 36341917, 'prompt_eval_count': 197, 'prompt_eval_duration': 71402203, 'eval_count': 648, 'eval_duration': 10590990229}",1
53,D,C,"{'total_duration': 25147950704, 'load_duration': 41999517, 'prompt_eval_count': 174, 'prompt_eval_duration': 69722147, 'eval_count': 1518, 'eval_duration': 25025361736}",0
54,A,A,"{'total_duration': 9698392589, 'load_duration': 41526798, 'prompt_eval_count': 208, 'prompt_eval_duration': 79362383, 'eval_count': 592, 'eval_duration': 9555233908}",1
55,A,A,"{'total_duration': 7517702678, 'load_duration': 38425826, 'prompt_eval_count': 262, 'prompt_eval_duration': 88273196, 'eval_count': 439, 'eval_duration': 7379051803}",1
56,C,C,"{'total_duration': 5577620152, 'load_duration': 33950902, 'prompt_eval_count': 143, 'prompt_eval_duration': 72333012, 'eval_count': 333, 'eval_duration': 5449889405}",1
57,C,B,"{'total_duration': 18666535468, 'load_duration': 32763276, 'prompt_eval_count': 238, 'prompt_eval_duration': 84749524, 'eval_count': 1137, 'eval_duration': 18529442255}",0
58,C,C,"{'total_duration': 11508283653, 'load_duration': 39857587, 'prompt_eval_count': 453, 'prompt_eval_duration': 112312158, 'eval_count': 682, 'eval_duration': 11330768521}",1
59,C,A,"{'total_duration': 11686182821, 'load_duration': 44876856, 'prompt_eval_count': 281, 'prompt_eval_duration': 91210149, 'eval_count': 690, 'eval_duration': 11537556189}",0
60,C,C,"{'total_duration': 10028852071, 'load_duration': 44347520, 'prompt_eval_count': 238, 'prompt_eval_duration': 78397347, 'eval_count': 600, 'eval_duration': 9884566424}",1
61,A,A,"{'total_duration': 7422067059, 'load_duration': 34501620, 'prompt_eval_count': 181, 'prompt_eval_duration': 70723784, 'eval_count': 436, 'eval_duration': 7304772508}",1
62,D,D,"{'total_duration': 27399809594, 'load_duration': 56743350, 'prompt_eval_count': 311, 'prompt_eval_duration': 94922919, 'eval_count': 1610, 'eval_duration': 27236940637}",1
63,A,A,"{'total_duration': 7395718159, 'load_duration': 46577416, 'prompt_eval_count': 382, 'prompt_eval_duration': 95499005, 'eval_count': 439, 'eval_duration': 7237385458}",1
64,C,A,"{'total_duration': 12045046171, 'load_duration': 29715507, 'prompt_eval_count': 294, 'prompt_eval_duration': 89240610, 'eval_count': 738, 'eval_duration': 11906017010}",0
65,B,B,"{'total_duration': 10548498017, 'load_duration': 51370824, 'prompt_eval_count': 242, 'prompt_eval_duration': 79116969, 'eval_count': 644, 'eval_duration': 10405094533}",1
66,C,C,"{'total_duration': 8072796434, 'load_duration': 38347405, 'prompt_eval_count': 264, 'prompt_eval_duration': 89299685, 'eval_count': 476, 'eval_duration': 7925221484}",1
67,B,B,"{'total_duration': 7166836938, 'load_duration': 35721543, 'prompt_eval_count': 326, 'prompt_eval_duration': 90306978, 'eval_count': 431, 'eval_duration': 7026195337}",1
68,D,D,"{'total_duration': 9124451120, 'load_duration': 37934553, 'prompt_eval_count': 305, 'prompt_eval_duration': 96102565, 'eval_count': 553, 'eval_duration': 8969135576}",1
69,<,A,"{'total_duration': 33530386983, 'load_duration': 37104719, 'prompt_eval_count': 296, 'prompt_eval_duration': 81652334, 'eval_count': 2000, 'eval_duration': 33399373425}",0
70,A,A,"{'total_duration': 9139305306, 'load_duration': 47578814, 'prompt_eval_count': 464, 'prompt_eval_duration': 119218172, 'eval_count': 532, 'eval_duration': 8957467879}",1
71,A,A,"{'total_duration': 19810465643, 'load_duration': 34023254, 'prompt_eval_count': 285, 'prompt_eval_duration': 82671352, 'eval_count': 1190, 'eval_duration': 19670800999}",1
72,A,C,"{'total_duration': 15986221181, 'load_duration': 44913410, 'prompt_eval_count': 496, 'prompt_eval_duration': 117411556, 'eval_count': 959, 'eval_duration': 15805092470}",0
73,B,B,"{'total_duration': 9729662519, 'load_duration': 38186410, 'prompt_eval_count': 250, 'prompt_eval_duration': 79771290, 'eval_count': 574, 'eval_duration': 9596605183}",1
74,C,C,"{'total_duration': 8313302896, 'load_duration': 48104745, 'prompt_eval_count': 343, 'prompt_eval_duration': 90875741, 'eval_count': 488, 'eval_duration': 8151882475}",1
75,C,A,"{'total_duration': 8660135875, 'load_duration': 34049901, 'prompt_eval_count': 203, 'prompt_eval_duration': 74973857, 'eval_count': 529, 'eval_duration': 8529198734}",0
76,B,B,"{'total_duration': 7524907284, 'load_duration': 37692809, 'prompt_eval_count': 291, 'prompt_eval_duration': 91064476, 'eval_count': 437, 'eval_duration': 7382886818}",1
77,C,B,"{'total_duration': 19602752168, 'load_duration': 54014576, 'prompt_eval_count': 216, 'prompt_eval_duration': 74011085, 'eval_count': 1171, 'eval_duration': 19457063859}",0
78,T,C,"{'total_duration': 33801957995, 'load_duration': 42932472, 'prompt_eval_count': 206, 'prompt_eval_duration': 80124134, 'eval_count': 2000, 'eval_duration': 33657596185}",0
79,C,C,"{'total_duration': 7456280501, 'load_duration': 36981581, 'prompt_eval_count': 347, 'prompt_eval_duration': 105823587, 'eval_count': 443, 'eval_duration': 7292546403}",1
80,<,B,"{'total_duration': 33241377619, 'load_duration': 35855159, 'prompt_eval_count': 150, 'prompt_eval_duration': 68860048, 'eval_count': 2000, 'eval_duration': 33121542509}",0
81,D,A,"{'total_duration': 26637887022, 'load_duration': 60559327, 'prompt_eval_count': 203, 'prompt_eval_duration': 81081269, 'eval_count': 1609, 'eval_duration': 26483237932}",0
82,C,C,"{'total_duration': 12535742998, 'load_duration': 38673010, 'prompt_eval_count': 204, 'prompt_eval_duration': 83206876, 'eval_count': 758, 'eval_duration': 12400831048}",1
83,A,A,"{'total_duration': 5673618301, 'load_duration': 42267359, 'prompt_eval_count': 374, 'prompt_eval_duration': 97418915, 'eval_count': 337, 'eval_duration': 5511795372}",1
84,C,C,"{'total_duration': 9908438970, 'load_duration': 35103006, 'prompt_eval_count': 310, 'prompt_eval_duration': 90134669, 'eval_count': 576, 'eval_duration': 9761899847}",1
85,B,B,"{'total_duration': 7418282309, 'load_duration': 37866264, 'prompt_eval_count': 293, 'prompt_eval_duration': 80178468, 'eval_count': 443, 'eval_duration': 7283960271}",1
86,C,C,"{'total_duration': 4258281745, 'load_duration': 34081214, 'prompt_eval_count': 256, 'prompt_eval_duration': 86511079, 'eval_count': 246, 'eval_duration': 4115715821}",1
87,C,C,"{'total_duration': 13830877910, 'load_duration': 46425092, 'prompt_eval_count': 460, 'prompt_eval_duration': 105502644, 'eval_count': 811, 'eval_duration': 13658273767}",1
88,C,C,"{'total_duration': 12600270386, 'load_duration': 36000220, 'prompt_eval_count': 330, 'prompt_eval_duration': 88494359, 'eval_count': 752, 'eval_duration': 12462778288}",1
89,B,B,"{'total_duration': 8159362364, 'load_duration': 34969759, 'prompt_eval_count': 322, 'prompt_eval_duration': 97230299, 'eval_count': 492, 'eval_duration': 8004089299}",1
90,D,D,"{'total_duration': 7870694240, 'load_duration': 38663329, 'prompt_eval_count': 274, 'prompt_eval_duration': 78990703, 'eval_count': 478, 'eval_duration': 7732242789}",1
91,B,B,"{'total_duration': 16905257606, 'load_duration': 37718659, 'prompt_eval_count': 252, 'prompt_eval_duration': 79098753, 'eval_count': 1020, 'eval_duration': 16776222699}",1
92,C,C,"{'total_duration': 7827956462, 'load_duration': 43078568, 'prompt_eval_count': 230, 'prompt_eval_duration': 81204678, 'eval_count': 468, 'eval_duration': 7680245236}",1
93,D,D,"{'total_duration': 6849152618, 'load_duration': 44274734, 'prompt_eval_count': 333, 'prompt_eval_duration': 100229601, 'eval_count': 399, 'eval_duration': 6690839994}",1
94,<,C,"{'total_duration': 33259036279, 'load_duration': 32170018, 'prompt_eval_count': 326, 'prompt_eval_duration': 88768681, 'eval_count': 2000, 'eval_duration': 33119249758}",0
95,C,D,"{'total_duration': 26555808412, 'load_duration': 44340743, 'prompt_eval_count': 269, 'prompt_eval_duration': 91926306, 'eval_count': 1602, 'eval_duration': 26396558969}",0
96,A,A,"{'total_duration': 23366603998, 'load_duration': 38268639, 'prompt_eval_count': 316, 'prompt_eval_duration': 91157699, 'eval_count': 1407, 'eval_duration': 23223216410}",1
97,B,B,"{'total_duration': 11600443425, 'load_duration': 38609389, 'prompt_eval_count': 209, 'prompt_eval_duration': 74701644, 'eval_count': 709, 'eval_duration': 11474420185}",1
98,B,B,"{'total_duration': 13930800210, 'load_duration': 34479975, 'prompt_eval_count': 193, 'prompt_eval_duration': 81934107, 'eval_count': 834, 'eval_duration': 13802758270}",1
99,B,B,"{'total_duration': 10877040086, 'load_duration': 34828411, 'prompt_eval_count': 201, 'prompt_eval_duration': 72087201, 'eval_count': 665, 'eval_duration': 10747508761}",1
